"dumas_-_Acté" "dumas_-_Bric-à-brac" "dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux" "dumas_-_Gabriel_Lambert" "dumas_-_Georges" "dumas_-_Henri_III_et_sa_Cour" "dumas_-_Histoire_d'un_casse-noisette" "dumas_-_La_dame_de_Monsoreau_—__Tome_1." "dumas_-_La_dame_de_Monsoreau_—_Tome_2." "dumas_-_La_dame_de_Monsoreau_—_Tome_3." "dumas_-_La_femme_au_collier_de_velours" "dumas_-_La_reine_Margot_-_Tome_I" "dumas_-_La_reine_Margot_-_Tome_II" "dumas_-_La_San-Felice,_Tome_01" "dumas_-_La_San-Felice,_Tome_02" "dumas_-_La_San-Felice,_Tome_03" "dumas_-_la_San-Felice,_Tome_04" "dumas_-_La_San-Felice,_Tome_05" "dumas_-_La_San-Felice,_Tome_06" "dumas_-_La_tulipe_noire" "dumas_-_Le_Capitaine_Aréna_—_Tome_1" "dumas_-_Le_Capitaine_Aréna_—_Tome_2" "dumas_-_Le_capitaine_Pamphile" "dumas_-_Le_capitaine_Paul" "dumas_-_Le_chevalier_d'Harmental" "dumas_-_Le_chevalier_de_Maison-Rouge" "dumas_-_Le_Collier_de_la_Reine,_Tome_I" "dumas_-_Le_Collier_de_la_Reine,_Tome_II" "dumas_-_Le_comte_de_Monte-Cristo,_Tome_III" "dumas_-_Le_comte_de_Monte-Cristo,_Tome_Il" "dumas_-_Le_comte_de_Monte-Cristo,_Tome_IV" "dumas_-_Le_comte_de_Moret" "dumas_-_Le_corricolo" "dumas_-_Le_vicomte_de_Bragelonne,_Tome_I." "dumas_-_Le_vicomte_de_Bragelonne,_Tome_II." "dumas_-_Le_vicomte_de_Bragelonne,_Tome_III." "dumas_-_Le_vicomte_de_Bragelonne,_Tome_IV." "dumas_-_Les_compagnons_de_Jéhu" "dumas_-_Les_Femmes_qui_tuent_et_les_Femmes_qui_votent" "dumas_-_Les_mille_et_un_fantômes" "dumas_-_Les_quarante-cinq_—_Tome_1" "dumas_-_Les_quarante-cinq_—_Tome_2" "dumas_-_Les_quarante-cinq_—_Tome_3" "dumas_-_Les_trois_mousquetaires" "dumas_-_Mémoires_de_Garibaldi,_tome_1" "dumas_-_Mémoires_de_Garibaldi,_tome_2" "dumas_-_Pauline_et_Pascal_Bruno" "dumas_-_The_Count_of_Monte_Cristo" "dumas_-_Vingt_ans_après" "dumas2hugo_para_5" "hugo_-_Actes_et_Paroles,_Volume_1" "hugo_-_Actes_et_Paroles,_Volume_2_Pendant_l'exil" "hugo_-_Actes_et_Paroles,_Volume_3" "hugo_-_Bug-Jargal" "hugo_-_Claude_Gueux" "hugo_-_Han_d'Islande" "hugo_-_Hernani" "hugo_-_L'homme_Qui_Rit" "hugo_-_La_Esmeralda" "hugo_-_Le_Dernier_Jour_d'un_Condamné" "hugo_-_Le_Rhin,_Tome_I" "hugo_-_Le_Rhin,_Tome_II" "hugo_-_Le_Rhin,_Tome_III" "hugo_-_Le_Rhin,_Tome_IV" "hugo_-_Le_Roi_s'amuse" "hugo_-_Les_misérables_Tome_I_Fantine" "hugo_-_Les_misérables_Tome_II__Cosette" "hugo_-_Les_misérables_Tome_III_Marius" "hugo_-_Les_misérables_Tome_IV_L'idylle_rue_Plumet_et_l'épopée_rue_Saint-Denis" "hugo_-_Les_misérables_Tome_V_Jean_Valjean" "hugo_-_Les_Travailleurs_de_la_mer" "hugo_-_Littérature_et_Philosophie_mêlées" "hugo_-_Napoléon_Le_Petit" "hugo_-_Notre-Dame_de_Paris" "hugo_-_Notre-Dame_de_Paris_-_Tome_2" "hugo_-_Post-scriptum_de_ma_vie" "hugo_-_Quatrevingt_Treize" "hugo_-_Ruy_Blas_Drame" "hugo_-_Victor_Hugo_à_vingt_ans_Glanes_romantiques"
"dumas_-_Acté" 0 1.02433270257104 0.76629653156859 0.9047092745784 0.667822613092801 1.81850587058462 0.754652571349664 1.23899928392978 1.29972392751454 1.30317646887816 0.787467801161838 1.17201776264993 1.21673884948427 0.6432590092844 0.928961602429818 0.854791601538596 1.04649369369037 0.809044308833134 0.875601300013187 0.953060222080692 0.855654173222025 0.863983821514332 0.627966871254563 0.853106572264119 0.982165791510081 1.1161287426095 1.2243528907989 1.29174501940004 1.38853132113087 1.21433326603359 1.13413880997484 1.09310184049696 0.716009422416558 1.35797352148177 1.43381554855062 1.43271360901228 1.37831416040938 0.97472333480026 1.46778401614695 1.13935571155879 1.36482624160787 1.33291038978455 1.06189174242674 1.13840655476707 0.899899170732554 0.910681426721836 0.844637091727833 1.02091901802911 1.23998525234164 2.90462483600204 1.73443221860478 1.50611923691587 1.54283452760233 1.04268270329969 1.24101726418481 0.958355185351058 1.77477180636099 1.07895785672943 1.61855008660738 1.36047517135143 1.07178741456306 0.870080741603731 1.12009095308982 1.18606234167948 1.74871871674477 1.04446737358248 0.990576445602468 0.93884278584976 0.934059774689412 1.15999606467416 1.18668201515276 1.08546940109924 1.27842751138192 0.750910200852083 0.84667612601383 1.45167892391537 1.03225859913983 1.42503318706222 2.22957875913703
"dumas_-_Bric-à-brac" 1.02433270257104 0 0.624824321281795 0.656042513225947 0.680584924930147 1.13106306821539 0.827079099079204 0.663020239209111 0.691228129817716 0.741775231797873 0.77237140015336 0.72378845363762 0.682896160441483 0.721297858613931 0.528157154673515 0.624276530070297 0.5789229492834 0.710364101319575 0.564092273884656 0.667085255088047 0.642313150769247 0.734723046717313 0.918217074856438 0.717907148391474 0.718156647630542 0.674432031880001 0.692265885266931 0.836591387736344 0.724568815761819 0.52775687916308 0.68809564631967 0.578923505021661 0.519755409717247 0.709976966621533 0.802578693122938 0.831501063525064 0.761922672761751 0.474446023044098 1.22030987014345 0.625078782366482 0.744573268346045 0.765965486201516 0.659524179411373 0.737069514100638 0.633831137369408 0.785344743313672 0.623755207124632 0.64727117345256 0.708717069972695 2.85664297121335 1.14410095342871 1.07737225021141 1.03827596657805 0.699582005979708 0.919194141685097 0.712755155842956 1.3386539917902 0.786204374456951 1.28593100385338 0.956659059771427 0.918719864120258 0.911937851780716 0.935136889838662 0.996254435928899 1.1403770970869 0.831815198743633 0.805178418945637 0.742889776932636 0.764027952010495 0.722476989476812 1.02096417380926 0.843038893761215 1.00429882432529 0.658031841433258 0.697441045002752 1.08596540989689 0.848354718259417 0.936833523381928 2.20124235138839
"dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux" 0.76629653156859 0.624824321281795 0 0.801651707533878 0.504932747890089 1.48417651523736 0.635597364472103 0.836478571623621 0.912740943064011 0.882926120029339 0.680322487408675 0.804829239123933 0.808755150592885 0.473725567618729 0.474465710255706 0.466933530786836 0.540836410849867 0.474591737820641 0.451687680624547 0.627590536053588 0.606906657857784 0.640605271162621 0.693848630686687 0.772415917304552 0.643898597526403 0.732997952626465 0.840228386317238 0.919234540237765 0.965968656260117 0.777405630976085 0.820978043256144 0.581947355296479 0.472093693849358 0.935601045706639 1.00880008783715 1.0220742802534 0.93422891235582 0.501105584368196 1.12273259044578 0.779700578648123 0.9541714071393 0.918777245340672 0.756742734393935 0.803006212440621 0.665241352780183 0.738821369006355 0.666687665553998 0.689155892062661 0.795572573719547 2.85174178275528 1.28102090132795 1.09150231788084 1.08070726307763 0.821675043525149 0.884443780905203 0.824186733203533 1.53031117596375 0.727166236347185 1.41147654361431 1.10576538631283 0.967394223185046 0.856460422636171 1.00278426941736 0.937204849127104 1.42555932910263 0.712815257275253 0.683896454913096 0.587400934023882 0.629892772226724 0.721063150228148 0.939592574327 0.77869893749396 0.882909700343171 0.575864415072783 0.679573667460036 1.04421241005724 0.691983720704549 1.15330787347065 2.20326434228236
"dumas_-_Gabriel_Lambert" 0.9047092745784 0.656042513225947 0.801651707533878 0 0.746750739895265 1.29760475680183 0.781963828966201 0.720405770710015 0.834821001714044 0.861052687135877 0.71760287104626 0.770094801673428 0.789108973224231 0.846888163187308 0.774549722782975 0.807478856957472 0.812200185460471 0.91016675074315 0.782771119829144 0.759206887895096 0.795587537455016 0.869280725566128 1.00056071212324 0.690433732428295 0.769496513542635 0.752368739331194 0.802807402792132 0.885449151827289 0.855671047023483 0.769450899290405 0.741184646521897 0.79997874984141 0.665497690880168 0.82655213121503 0.876978319605246 0.932236337525489 0.844234519125914 0.805196257322235 1.31286869737727 0.742468415909374 0.842625745596596 0.846108695270985 0.695664854543235 0.741131486997655 0.841685601784464 1.00969787375314 0.632365245373948 0.727752223938116 0.843925671023503 2.93905609469137 1.43971223241028 1.37304559010038 1.35703246571367 0.700078777095303 1.09001106697837 0.731493099667615 1.431772679048 0.960387441784852 1.32364386968866 0.997789736376903 1.05147213205446 0.901331975479294 1.12011860114257 1.22347315893653 1.16315545809142 0.886999982086901 0.978933080273911 0.855985598918043 0.873105016379358 0.938958252030059 1.17944461523239 0.951000135376343 1.2473592978859 0.660426320611346 0.651487235776671 1.32054919267642 1.02390447559826 0.994434890950462 2.31686813181015
"dumas_-_Georges" 0.667822613092801 0.680584924930147 0.504932747890089 0.746750739895265 0 1.54013174495991 0.589069160707353 0.870718232204711 0.945805744641823 0.903595450467838 0.571251551486243 0.817752644994797 0.852632100742599 0.578784973624721 0.555536982431879 0.613052296689732 0.692591226589513 0.618590038838255 0.590466465455459 0.623412732928451 0.51335718495929 0.595205604756414 0.636801598819371 0.672775029012429 0.633487656961581 0.780190359608185 0.870262846672742 1.00614590037787 0.974010263277707 0.775529774316997 0.80148817069867 0.711287946451779 0.420941768779349 0.964727557254035 1.05098038300279 1.0738352874082 0.991511608447691 0.574085056436631 1.25337502980265 0.809951873711428 0.978471629718496 0.93684724852264 0.71550061859215 0.755910850755065 0.673434575989573 0.821971714926249 0.630978040548782 0.606376772123485 0.840384203994414 2.92384733563366 1.4483127586307 1.27721984452818 1.25095699884674 0.876266999877284 0.914332814887948 0.819934936812198 1.63514452900109 0.93110228281544 1.52195875555727 1.17078155327314 1.07565792931878 0.957181898876843 1.14491267554789 1.13001125555306 1.48696801368889 0.842293912681707 0.872192297699655 0.729601230351912 0.772933703669512 0.829957400495871 1.0580727503161 0.855663526971288 1.06683814808179 0.661626818141149 0.744978060437043 1.18463510793248 0.859302271188898 1.18313625567622 2.33089655475133
"dumas_-_Henri_III_et_sa_Cour" 1.81850587058462 1.13106306821539 1.48417651523736 1.29760475680183 1.54013174495991 0 1.48785322147773 0.944046956696419 0.979668456900978 1.030379724799 1.54675138045938 1.00699877267202 0.987834911349102 1.6182583649571 1.27542389483121 1.42460727150285 1.24577380530709 1.59772486480435 1.40426600645364 1.2313875030782 1.50261375092121 1.63239093577675 1.78078711249255 1.21643031751061 1.237152261472 1.10431709537994 1.03989069748595 1.1291325495068 0.932161396710238 1.04160545240334 1.10139287588169 1.19400617763939 1.39237156507624 0.999807325075761 0.962248484836779 0.918551705069748 1.0466753753466 1.26131162490215 1.60247026027574 1.17884875980201 0.930580536975546 1.02020608521359 1.16089331455163 1.09706173026772 1.49529879045955 1.60538844915009 1.23528672614344 1.21379913937195 1.05426169860709 3.22843682523848 1.4243715377869 1.52864282728552 1.47309744216187 1.17591584854606 1.58461989301298 1.20241783328527 1.31188233677046 1.44580695690479 1.31917800704685 1.30989071068144 1.63810650148137 1.609983857728 1.61864626563262 1.68344695939116 1.05837069628725 1.48649738106784 1.53614757277034 1.42873552555232 1.53833755297816 1.34994543131852 1.71452764706904 1.51790255113068 1.65197168122931 1.42608981521427 1.34277889768491 1.66142702166468 1.52536748020768 1.13240322263736 2.42259830231612
"dumas_-_Histoire_d'un_casse-noisette" 0.754652571349664 0.827079099079204 0.635597364472103 0.781963828966201 0.589069160707353 1.48785322147773 0 0.823305235533904 0.870588871013924 0.820196896755235 0.733015771696687 0.78143705447557 0.83122180459089 0.652625324979952 0.659808110304388 0.637699714897444 0.71132505798377 0.757549261426984 0.662778715348033 0.670273305142654 0.728448550486759 0.782116787042641 0.74583602882182 0.770043199269001 0.611867108658648 0.793623776854976 0.904464983663692 0.929991327622 0.990824831870632 0.847200112617025 0.837748498364088 0.738548359673344 0.629520260168362 0.916777995010921 0.953409953247576 0.981354666221758 0.94719458569186 0.750247075285506 1.23674186390923 0.959024641701972 0.955368771899671 0.864428489643017 0.729686783466261 0.747120870765107 0.877547192079969 0.977070269226151 0.760656175979509 0.709796838969629 0.789028797709461 2.89236072793423 1.53766914608729 1.42159415844911 1.38584954693912 0.946570305645069 1.05756508139136 0.86049933418255 1.58334637563902 1.02246691781049 1.52798083116342 1.2336034506361 1.25880497819481 0.960994634360322 1.30899384575956 1.20023019454911 1.44340895193466 0.887249215660482 0.95059169290622 0.773812461691513 0.827445991280096 0.931144225883339 1.19015306991567 0.981097693901607 1.20726192389346 0.651037053990614 0.714405350153656 1.30048628453282 1.04816597695563 1.25314021930603 2.16969192708034
"dumas_-_La_dame_de_Monsoreau_—__Tome_1." 1.23899928392978 0.663020239209111 0.836478571623621 0.720405770710015 0.870718232204711 0.944046956696419 0.823305235533904 0 0.369651261438121 0.41712399392212 0.822782724445714 0.34962748457167 0.369558835112532 0.991817072126128 0.609989421880727 0.733212917328171 0.573295362435842 0.94813768030904 0.732414754982085 0.502488016870865 0.878618628050799 0.994965644804725 1.17598011405518 0.594259444329236 0.568281900753687 0.422858131106796 0.498300393988557 0.643070060893399 0.416292561179116 0.425463037175619 0.39728807486925 0.562183229538564 0.757240309300301 0.436986068747979 0.454525934176303 0.471862726906328 0.501335373473691 0.576291863822796 1.33402321007721 0.581640065174559 0.394477296716029 0.358406063015484 0.448769131293414 0.422791367133457 0.910800817191123 1.0936804633361 0.63881472811483 0.475676664767472 0.424400139873294 3.10769370327075 1.32290421453677 1.31398049793307 1.30160692035116 0.815450728163766 1.09958452613736 0.720099381407934 1.40958456526122 1.03986071493376 1.26330193536626 1.03947820064414 1.28774509465927 1.11023229288335 1.34714269151708 1.3811264934793 0.999745904994806 0.942324266778896 1.02568104335402 0.868331711074773 0.99235210701624 0.890532347510536 1.32034193717088 1.12133265518571 1.24443374510462 0.847146902981251 0.769423568373358 1.31960345690386 1.12301795818718 0.873625112668485 2.43747427960141
"dumas_-_La_dame_de_Monsoreau_—_Tome_2." 1.29972392751454 0.691228129817716 0.912740943064011 0.834821001714044 0.945805744641823 0.979668456900978 0.870588871013924 0.369651261438121 0 0.316137691699961 0.904093133447264 0.427628506937787 0.416989587250935 1.08132696470712 0.641800715092572 0.783041170884991 0.597997170023934 1.0166220907646 0.783979079999434 0.562985879082506 0.930079736100727 1.07077842389397 1.1792657894166 0.695619440712818 0.627811011614958 0.483892036107178 0.534218920314276 0.63861648805919 0.396942363723667 0.446380139704035 0.46504178767198 0.557746690127814 0.847603509700695 0.361417789538786 0.430957430327709 0.469749926466542 0.431011791070583 0.616215547248255 1.38757429040921 0.752159812537165 0.326455925151548 0.400823281069932 0.486947037988609 0.449268115146444 1.05008040208672 1.19483927847762 0.757437453113716 0.534192276002448 0.372319319725183 3.14654830478794 1.33518377443421 1.38068270856819 1.36428890297789 0.880698954324767 1.04847733868473 0.729355817436511 1.40589115415534 1.07502739449112 1.3385610603133 1.13711860438504 1.34338524496892 1.17139749890488 1.39140352902842 1.37790776617119 1.05100488695267 0.982477779280592 1.07444630099001 0.915262534043794 1.0307021375258 0.90444740361932 1.3661276901796 1.15951981965243 1.27605884245008 0.899817415810051 0.87224417342702 1.35044258014731 1.18649885326265 0.951490231799024 2.4062591927776
"dumas_-_La_dame_de_Monsoreau_—_Tome_3." 1.30317646887816 0.741775231797873 0.882926120029339 0.861052687135877 0.903595450467838 1.030379724799 0.820196896755235 0.41712399392212 0.316137691699961 0 0.916483875439567 0.501179514817478 0.472263845209104 1.09832377645813 0.678284723538107 0.780256450499858 0.585791646318885 0.987099976786121 0.755002242166415 0.609871610728668 0.911458637247617 1.09476429830728 1.1434484917808 0.791825094875259 0.715696219109626 0.495431454118582 0.546719188608617 0.665508571935412 0.503772525179922 0.51986329715596 0.568591840750519 0.615377773791614 0.853129052638686 0.436978242208803 0.472036260196343 0.533356186330985 0.458879231884238 0.616468234585429 1.37859499736821 0.774775001599898 0.400645926130724 0.443346610694218 0.449985094145239 0.523411016269023 1.03363379895202 1.15595416257825 0.809921765490933 0.548661224637731 0.409082127504687 3.16871439719125 1.33766449179437 1.37005638582871 1.347531151823 0.914423400911311 1.11262003261299 0.759210444985413 1.40013544725578 1.09342063839131 1.34525383286801 1.1709696324193 1.38851728070751 1.14814673926861 1.42106404282138 1.37207987609688 1.08211258213111 0.9896440545982 1.09123800198937 0.895021958517074 0.992562882464618 0.916095186994654 1.34693759803855 1.17750914474082 1.26864381151347 0.92788108024062 0.873111877278129 1.34326438494979 1.16180049733412 1.00057938102592 2.42972337953163
