"dumas_-_Acté" "dumas_-_Bric-à-brac" "dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux" "dumas_-_Gabriel_Lambert" "dumas_-_Georges" "dumas_-_Henri_III_et_sa_Cour" "dumas_-_Histoire_d'un_casse-noisette" "dumas_-_La_dame_de_Monsoreau_—__Tome_1." "dumas_-_La_dame_de_Monsoreau_—_Tome_2." "dumas_-_La_dame_de_Monsoreau_—_Tome_3." "dumas_-_La_femme_au_collier_de_velours" "dumas_-_La_reine_Margot_-_Tome_I" "dumas_-_La_reine_Margot_-_Tome_II" "dumas_-_La_San-Felice,_Tome_01" "dumas_-_La_San-Felice,_Tome_02" "dumas_-_La_San-Felice,_Tome_03" "dumas_-_la_San-Felice,_Tome_04" "dumas_-_La_San-Felice,_Tome_05" "dumas_-_La_San-Felice,_Tome_06" "dumas_-_La_tulipe_noire" "dumas_-_Le_Capitaine_Aréna_—_Tome_1" "dumas_-_Le_Capitaine_Aréna_—_Tome_2" "dumas_-_Le_capitaine_Pamphile" "dumas_-_Le_capitaine_Paul" "dumas_-_Le_chevalier_d'Harmental" "dumas_-_Le_chevalier_de_Maison-Rouge" "dumas_-_Le_Collier_de_la_Reine,_Tome_I" "dumas_-_Le_Collier_de_la_Reine,_Tome_II" "dumas_-_Le_comte_de_Monte-Cristo,_Tome_III" "dumas_-_Le_comte_de_Monte-Cristo,_Tome_Il" "dumas_-_Le_comte_de_Monte-Cristo,_Tome_IV" "dumas_-_Le_comte_de_Moret" "dumas_-_Le_corricolo" "dumas_-_Le_vicomte_de_Bragelonne,_Tome_I." "dumas_-_Le_vicomte_de_Bragelonne,_Tome_II." "dumas_-_Le_vicomte_de_Bragelonne,_Tome_III." "dumas_-_Le_vicomte_de_Bragelonne,_Tome_IV." "dumas_-_Les_compagnons_de_Jéhu" "dumas_-_Les_Femmes_qui_tuent_et_les_Femmes_qui_votent" "dumas_-_Les_mille_et_un_fantômes" "dumas_-_Les_quarante-cinq_—_Tome_1" "dumas_-_Les_quarante-cinq_—_Tome_2" "dumas_-_Les_quarante-cinq_—_Tome_3" "dumas_-_Les_trois_mousquetaires" "dumas_-_Mémoires_de_Garibaldi,_tome_1" "dumas_-_Mémoires_de_Garibaldi,_tome_2" "dumas_-_Pauline_et_Pascal_Bruno" "dumas_-_The_Count_of_Monte_Cristo" "dumas_-_Vingt_ans_après" "dumas2hugo_para_5" "hugo_-_Actes_et_Paroles,_Volume_1" "hugo_-_Actes_et_Paroles,_Volume_2_Pendant_l'exil" "hugo_-_Actes_et_Paroles,_Volume_3" "hugo_-_Bug-Jargal" "hugo_-_Claude_Gueux" "hugo_-_Han_d'Islande" "hugo_-_Hernani" "hugo_-_L'homme_Qui_Rit" "hugo_-_La_Esmeralda" "hugo_-_Le_Dernier_Jour_d'un_Condamné" "hugo_-_Le_Rhin,_Tome_I" "hugo_-_Le_Rhin,_Tome_II" "hugo_-_Le_Rhin,_Tome_III" "hugo_-_Le_Rhin,_Tome_IV" "hugo_-_Le_Roi_s'amuse" "hugo_-_Les_misérables_Tome_I_Fantine" "hugo_-_Les_misérables_Tome_II__Cosette" "hugo_-_Les_misérables_Tome_III_Marius" "hugo_-_Les_misérables_Tome_IV_L'idylle_rue_Plumet_et_l'épopée_rue_Saint-Denis" "hugo_-_Les_misérables_Tome_V_Jean_Valjean" "hugo_-_Les_Travailleurs_de_la_mer" "hugo_-_Littérature_et_Philosophie_mêlées" "hugo_-_Napoléon_Le_Petit" "hugo_-_Notre-Dame_de_Paris" "hugo_-_Notre-Dame_de_Paris_-_Tome_2" "hugo_-_Post-scriptum_de_ma_vie" "hugo_-_Quatrevingt_Treize" "hugo_-_Ruy_Blas_Drame" "hugo_-_Victor_Hugo_à_vingt_ans_Glanes_romantiques"
"de" 4.20595948886781 4.27091327705295 4.22972529811121 3.72451747926517 4.35384709033358 4.92735593370951 4.13368709727765 3.87245716052006 3.80566963039751 3.64852022807494 3.95160617438465 4.30739670004231 3.7961278148437 4.78767152937102 4.30625589155058 4.29580169586669 4.19594490017025 4.5407194068264 4.26884376694583 4.03774874477537 4.03810502744076 4.46943855443902 4.70543336914118 3.74796591485713 4.16938074167247 3.3294289897511 3.99427128481514 4.01299413576341 3.58715914152328 3.82140707210482 3.70388333818346 4.74982248092518 4.25263661629641 3.68952160348449 4.07919369841401 4.06415830089032 3.60287558377499 4.17529028810183 3.93515262343508 3.77198154763969 3.74237751041838 3.81572026436755 3.58573033159154 3.74990102228353 4.92360552671979 4.734110233676 4.03218942968728 3.67918426359244 3.69497302853852 8.07174887892377 4.17554103333991 3.91581206531753 3.98808836176467 4.44723618090452 3.65276211950395 4.1862297148259 1.63605051664753 4.03308260883722 2.81491002570694 3.70887337986042 4.82618808146844 3.99506129288297 4.97663046190183 4.09084333863735 3.48365847479098 3.66663872238756 3.88315938985982 3.86308711985261 3.81328415201185 4.04281814865596 4.44639141386486 4.46879456196593 3.89058998074434 4.43665449989761 4.20365913006879 3.98228088414772 4.14574206646009 2.79318313113807 6.72627514732778
"la" 2.80118296970035 2.67843438219493 3.35196310328707 2.36415781722347 2.54900170440711 2.30594926023015 2.34331453033377 2.3172922744045 1.99852477971373 1.94700877907503 2.67167292448894 2.82929065011987 2.5849868584467 3.25527033461755 2.69477653255128 2.86288297338021 2.69927255842749 2.99650713891783 2.74296559619208 2.79303908940354 2.58622271984729 2.68461325712178 2.88912760784757 2.70161501985967 2.55946631926507 2.93631039531479 2.72716993932085 2.99202632578155 1.90369356142464 2.21560303648631 2.3975814013645 2.62999597472671 2.54550808930445 1.97055254160271 1.9751327548245 2.39962645835831 2.07797659652621 2.68765486080746 3.15093543395696 2.63605147237349 1.92710663244885 2.21945251217783 2.21956341260927 2.23627126979033 2.86753417647489 3.02344838729223 2.64115972727874 2.25621123920405 2.17311961533439 2.24215246636771 3.83684325357659 3.68701849583413 4.16650621895337 2.00825556353195 2.50281848928974 2.08444934614779 1.10710185337051 2.84328090912051 3.23907455012853 2.40478564307079 2.88062610007543 2.52667783755181 2.97899236539645 3.95776074063359 2.30554851786167 2.58100347906275 3.09516457728648 2.69183834613452 2.93009844922981 2.6629265776928 3.6332274668711 2.57963524858206 2.99094037059251 2.96037969956513 2.88311039208723 3.20254938299507 3.46725077465541 2.75852108607741 3.51554562080878
"le" 2.30316388594386 2.37336914811972 2.31651072083953 2.49980621657236 2.25910031653275 2.26151863864575 2.42135069452186 2.42837548055561 2.73214784099518 2.77174404923522 2.35961618690029 2.20526018897194 2.37125610143546 2.33323232760487 2.43592237367767 2.35175938783349 2.77820770778517 2.61045407194068 2.73543411459902 2.38558397518467 2.43387603017566 2.33981746104914 3.15768643636569 2.41815541285367 2.39718335167674 2.09370424597365 2.31636075830098 2.4013837910813 2.32435375047427 2.40479708547349 2.4153652148608 2.844375698204 2.30623401004951 2.47704439284705 2.39547397298984 2.37123224572983 2.63525213832188 2.36214351649419 1.93065128710086 2.52159134265201 2.14136039366186 2.26633430146134 2.39048688772769 2.17167528641026 2.15841801301265 2.33676004281704 2.43122866410084 2.42742457101549 2.39143610057291 1.34529147982063 2.42075407008758 2.46003705240993 2.42340226167097 2.22002871500359 2.62683201803833 2.83756105246573 1.36337543053961 2.46751978118589 1.85089974293059 1.67497507477567 2.45631128991702 3.03377722903254 2.41679280118428 2.6442933603356 2.58001857951187 2.09582093305948 2.4072129932687 2.34130117483789 2.27809959217601 2.32707329651945 2.50793998466762 2.06392263238589 2.84415543419931 2.22856661004903 2.29912270317905 2.68046829091895 2.50347259322577 2.03350664355864 2.82462914041861
"et" 3.3536074995815 2.15656178050652 2.38140093079075 2.87187039764359 2.56117604090577 1.83054160927711 2.99212949544046 2.38297625717211 2.14604680834098 2.24002172142275 2.34125990821861 2.40357495416725 2.31252828081526 2.70983940089174 2.55562371882154 2.63834313233078 2.42067791363566 2.65641277039034 2.72940892932458 2.18185641807523 2.46691507130926 2.55923296764082 2.60926103918132 2.61062798551206 2.40729094135352 2.21595900439239 1.99751253156447 1.81917900687677 2.1313449578515 2.29612777634449 2.21085135965338 2.45225076095756 2.50685612265557 2.1168477809118 2.01987495731829 1.9730822864282 2.10263945007084 2.24214157314288 3.06301870867914 2.22503555200999 2.14371483059826 2.2446085942324 2.35141866484348 2.41839026809417 2.54952847430368 2.47005836850928 2.63170337308154 2.42894646729825 2.4738070443899 0.896860986547085 2.33036539880105 2.45092580406767 2.41570077143261 2.31873653984207 2.17587373167982 2.06948164487159 1.45153354108578 2.50724496108886 1.94087403598972 2.65603190428714 2.87905456374151 3.3644942234765 2.81099782106086 3.11297555330537 1.91706781521831 2.50450601500608 2.48625949484345 2.74208599526236 2.59933674485458 2.25034277160719 2.10272697404446 2.56676923736719 2.58530887969949 2.46768578415429 2.29254626524089 2.21714957284274 2.60604765466396 2.11727325245523 2.01178622231254
"à" 2.1831929021818 2.3119723714505 2.32418590696279 2.12774203550112 2.39530070611152 1.49731194739414 1.995496198524 1.91063114579912 1.8858897173159 1.74902706127251 2.03587818105966 1.9725708644761 1.84848222279987 2.27407182950233 2.20250475064714 2.17449109226815 2.18077696950936 2.34695753416263 2.27601373742243 2.05173365579243 2.38798847304565 2.58689038443809 2.48346243003336 2.22218333887421 2.16358572359111 1.88213762811127 1.85052576037387 1.83521073281863 1.90534320922483 2.18511308644292 1.84143305202574 2.15058140323741 2.14886528869338 1.91513767822805 1.82088989885907 1.87527999848564 1.86860471217925 2.25768838361755 2.02911801941201 2.04120564669973 1.78113154239164 1.95988748370572 1.85085705913952 2.05956999912483 2.44900943051393 2.42764526487993 2.21089561130602 2.16946315108625 2.12423279502024 2.24215246636771 0 0 0 1.74084709260589 1.80383314543405 1.56057980148101 1.00869279973758 1.66976002083944 0.874035989717224 2.02193419740778 1.96913502640181 1.75941441044184 1.93276891601936 1.68089107478663 1.81994763955747 1.97216749800897 1.97616253936886 1.86514488072165 1.86594626421106 1.86291651467314 1.86452743401599 1.6779422959397 1.84033586918779 1.90391866334189 1.7164503018585 1.55946300230529 1.7587349075756 1.61178509532062 1.84921763869132
"il" 1.35176608448189 1.44858019953952 1.79180708768551 1.2983489651965 1.68690650109569 1.43955213933443 1.6722035183162 1.66141838765141 1.89187034009808 1.96850393700787 2.18272841051314 1.52834579043858 1.85810973437696 1.43283840526384 1.72818817051457 1.40632847815168 1.62049218387247 1.39408051963968 1.49575224438151 1.88086538208775 1.94746792459757 1.5469715128607 2.25589415955221 1.44879354691956 1.80757395386447 1.66983894582723 1.36886141785701 1.42007340842931 1.76512314620828 1.69649209215783 1.71694635755165 1.75709963229807 1.63442601829526 1.69347822472944 1.60188859191579 1.63108976988068 1.74529044445611 1.83646698731963 1.20270080180053 1.55908570635774 1.71638452664045 1.69231824730716 1.74219856424281 1.78868361720837 1.22815995321295 1.31278654090845 1.54516827582294 2.17555073621733 1.91730091177268 1.34529147982063 1.1376505179167 1.09942396663258 1.14752204551581 1.68521177315147 2.80721533258174 1.58736410902789 0.856978842053469 1.87294454755625 1.04113110539846 1.39182452642074 0.870631128991702 2.20037040303378 0.815023036875634 1.12541588311876 1.60459420657039 2.7025610931802 2.04285802507256 2.70978393510875 1.97937501623503 2.57613303311991 2.05207534771657 1.72726200559671 1.6193692982733 1.64612771493621 1.86244722408555 1.55494281968992 1.59952986430174 1.54823801270942 0.345458240195082
"l" 1.84141509960382 1.72294704528012 1.96973185690662 1.47275405007364 1.73560384709033 1.22628515572933 1.38458451316582 1.36294264242799 1.41242374705953 1.23427459498597 1.77388402169378 1.45254548018615 1.3391868603722 1.72864089577652 1.68629269971421 1.61905043283009 1.72883454573595 1.52429683191372 1.67650780261493 1.57987434610026 1.54182191956829 1.55065916843367 1.88273873466388 1.7112561459992 1.49086947732531 1.46120058565154 1.59574869031018 1.43104248407375 1.34941190055923 1.45413607899242 1.3539948911954 1.65805077271679 1.62154202941231 1.42139124555988 1.29811258551059 1.31749146596165 1.46875163981739 1.666423747753 2.22956815304544 1.44982830980542 1.42443434652603 1.42703592745901 1.55174097768228 1.4390318103962 1.84041231084144 1.94090440894311 1.45155036927063 1.81105657649431 1.37586263473174 0.448430493273543 2.51737644284215 2.76577005233906 2.66599920417934 1.65111270638909 1.8489289740699 1.60311958405546 0.982040347711989 2.1125980918889 1.97943444730077 1.30408773678963 1.97384963540357 1.67122321192345 1.88120623409458 3.28077535078837 1.49058356557723 1.9061491386176 2.00333477428519 1.84600291914914 1.95859417616957 2.05034025585227 2.68316723250465 2.16363421930116 2.07866409924556 1.91957886114223 1.86507779926081 3.10988563937983 2.12629554439577 1.63200462160601 1.34119081487503
"que" 1.15646448300876 1.48119723714505 1.37316057187114 1.20145725137586 1.36276479181885 1.72390811747456 1.60977458696573 1.69039661534301 1.66859375622982 1.50692370350258 1.22152690863579 1.4992596248766 1.51825857570594 1.30730271416822 1.609983092185 1.54814311460395 1.60037145952639 1.40174030271463 1.62228113514491 1.57330248941931 1.47207283273068 1.51378261270397 1.24526488381297 1.64476562089902 1.64248332247703 1.52049780380673 1.45253081068858 1.64704889676412 1.71810818390274 1.58782278302882 1.58195104601158 1.63815054522101 1.44300675489131 1.61811401053991 1.65192921312595 1.69797391518333 1.63194626646377 1.44731088762571 1.31875087916725 1.58856786098297 1.53744731947355 1.52880371395248 1.48337158763491 1.58697744975058 1.33781709189268 1.12495708197847 1.52341866116937 1.49374120153712 1.47397111659507 2.24215246636771 1.57089276994525 1.19357353283593 1.22325336619302 1.34781048097631 1.39797068771139 1.40696391996219 0.678612432343776 0.952753085213767 0.874035989717224 1.25623130608175 0.889489564998743 0.87309286533204 0.798389913674091 0.97497468537538 0.983869605607634 1.14431822945048 0.988081269684432 1.03605867011222 1.00960247984691 1.13208971182027 0.817270835614938 1.40561172522489 1.0211812241548 1.11669256622457 1.10221099843481 1.02834154499842 0.839833315525163 0.918544194107452 0.10160536476326
"un" 1.46476201104849 1.40636991557943 1.11359973206623 1.54251608402449 1.35743851960068 1.18629759630337 1.06798064703128 1.23254061781581 1.32670148718153 1.19694089962893 1.47017104714226 1.25158651812156 1.32955934879512 1.28998744643089 1.26584172489638 1.05770083020652 1.06020739823557 1.09228506648692 1.17189853587998 1.23550905601851 1.36010719333346 1.15054853876648 1.42053485610901 1.32806075134293 1.14328069899598 1.30673499267936 1.43142501790223 1.31207020208412 1.37993038486283 1.4635176020827 1.35965337730785 1.13883574623592 1.45865159853491 1.46572313625961 1.23688641367698 1.2815254632989 1.3312693498452 1.3171063499004 0.910817273878183 1.3769900454372 1.29258587808726 1.28296018478286 1.29535576500464 1.28066746404504 1.18246947876307 1.20776361763577 1.38251898363105 1.45645474260929 1.22585376143901 0.448430493273543 0.972457429013725 1.10246104941334 1.01659671146367 1.50035893754487 1.52198421645998 1.47943910508902 0.770870920124651 1.46136563446322 1.09254498714653 1.47557328015952 1.53853407090772 1.6138989328865 1.42046872141182 1.09359178359612 1.67215606789967 1.5257576392673 1.49570802198481 1.53853516139066 1.49189114303279 1.38114944842073 1.37033183660059 1.30482797070838 1.40945105590454 1.43591967523159 1.43103289534257 1.2340098539981 1.44459878192115 1.55979202772964 0.508026823816297
"les" 1.6642486468389 1.36032233307751 1.69202966808309 1.50375939849624 1.48907353299245 0.724219131825654 1.43363581636976 1.02486331935939 1.11040229655915 1.18110236220472 1.19315811430955 0.873466365815823 0.903060585930355 1.41696607650462 1.25985665763919 1.53927969982569 1.38213898777279 2.15546295728905 1.49575224438151 1.30911385084514 1.29402911106624 1.30174241725823 1.34562107762764 1.06209865094224 0.936075110621954 1.11566617862372 1.21735197678363 1.01506138463486 0.922153120308814 1.04916699892894 1.01691078992466 1.12888563248803 1.45589074377427 1.12492172650548 1.02082867268724 0.979915826934119 1.15495618407934 1.33994072778507 2.05725137150091 1.10471367625126 1.08186377227886 0.951357284972671 1.19890608975924 1.04812192387676 1.54799327436216 1.86415688809 1.12719742030658 1.03108473157554 1.0818720303768 0.896860986547085 1.68309939636991 1.770619261179 1.67379054513715 1.59368269921034 1.31905298759865 1.1525129982669 0.67451205510907 1.43140894142164 0.886889460154242 1.5234297108674 1.88427206437013 2.02839756592292 2.19557226260375 2.17561116736583 0.705176927624356 1.17889927484596 1.3833137775582 1.31242074031536 1.56289234658978 1.21385174656285 1.66876574307305 1.7487053576215 2.29805233751065 1.30521725512871 1.29029712346605 1.71540930253582 1.79506357516829 0.924321201617562 1.17862223125381
