Source,Target,Weight,Type
colette_-_Barks_and_Purrs,colette2hugo_para_29,1,undirected
colette_-_Barks_and_Purrs,hugo_-_Hernani,2,undirected
colette_-_Barks_and_Purrs,hugo_-_Victor_Hugo_à_vingt_ans_Glanes_romantiques,5,undirected
colette_-_Chéri,colette_-_L'Ingénue_Libertine,5,undirected
colette_-_Chéri,colette_-_La_Fin_de_Chéri,5,undirected
colette_-_Chéri,colette_-_Le_blé_en_herbe,3,undirected
colette_-_L'Ingénue_Libertine,colette_-_Chéri,5,undirected
colette_-_L'Ingénue_Libertine,colette_-_La_Fin_de_Chéri,3,undirected
colette_-_L'Ingénue_Libertine,colette_-_Le_blé_en_herbe,2,undirected
colette_-_L'Ingénue_Libertine,colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,1,undirected
colette_-_La_Fin_de_Chéri,colette_-_Chéri,5,undirected
colette_-_La_Fin_de_Chéri,colette_-_L'Ingénue_Libertine,3,undirected
colette_-_La_Fin_de_Chéri,colette_-_Le_blé_en_herbe,6,undirected
colette_-_La_maison_de_Claudin,colette_-_Le_blé_en_herbe,1,undirected
colette_-_La_maison_de_Claudin,colette_-_Les_heures_longues,4,undirected
colette_-_La_maison_de_Claudin,colette_-_Rêverie_de_Nouvel_An,2,undirected
colette_-_La_maison_de_Claudin,colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,6,undirected
colette_-_La_maison_de_Claudin,colette2hugo_para_29,2,undirected
colette_-_Le_blé_en_herbe,colette_-_Chéri,3,undirected
colette_-_Le_blé_en_herbe,colette_-_L'Ingénue_Libertine,2,undirected
colette_-_Le_blé_en_herbe,colette_-_La_Fin_de_Chéri,6,undirected
colette_-_Le_blé_en_herbe,colette_-_La_maison_de_Claudin,1,undirected
colette_-_Le_blé_en_herbe,colette_-_Les_heures_longues,1,undirected
colette_-_Les_heures_longues,colette_-_La_maison_de_Claudin,4,undirected
colette_-_Les_heures_longues,colette_-_Le_blé_en_herbe,1,undirected
colette_-_Les_heures_longues,colette_-_Rêverie_de_Nouvel_An,1,undirected
