Source,Target,Weight,Type
daudet_-_Contes_de_lundi,daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,3,undirected
daudet_-_Contes_de_lundi,daudet_-_Le_nabab__tome_I,2,undirected
daudet_-_Contes_de_lundi,daudet_-_Le_nabab__tome_II,1,undirected
daudet_-_Contes_de_lundi,daudet_-_Lettres_de_mon_moulin,6,undirected
daudet_-_L'Immortel,daudet_-_Le_nabab__tome_I,1,undirected
daudet_-_L'Immortel,daudet_-_Le_nabab__tome_II,3,undirected
daudet_-_L'Immortel,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,5,undirected
daudet_-_L'Immortel,daudet_-_Sapho,4,undirected
daudet_-_L'Immortel,daudet_-_Tartarin_sur_les_Alpes,2,undirected
daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,daudet_-_Contes_de_lundi,3,undirected
daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,daudet_-_Le_nabab__tome_I,1,undirected
daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,daudet_-_Lettres_de_mon_moulin,2,undirected
daudet_-_Le_nabab__tome_I,daudet_-_Contes_de_lundi,2,undirected
daudet_-_Le_nabab__tome_I,daudet_-_L'Immortel,1,undirected
daudet_-_Le_nabab__tome_I,daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,1,undirected
daudet_-_Le_nabab__tome_I,daudet_-_Le_nabab__tome_II,6,undirected
daudet_-_Le_nabab__tome_I,daudet_-_Les_femmes_d'artistes,2,undirected
daudet_-_Le_nabab__tome_I,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,3,undirected
daudet_-_Le_nabab__tome_I,daudet_-_Tartarin_sur_les_Alpes,1,undirected
daudet_-_Le_nabab__tome_I,hugo_-_Bug-Jargal,2,undirected
daudet_-_Le_nabab__tome_II,daudet_-_Contes_de_lundi,1,undirected
daudet_-_Le_nabab__tome_II,daudet_-_L'Immortel,3,undirected
daudet_-_Le_nabab__tome_II,daudet_-_Le_nabab__tome_I,6,undirected
daudet_-_Le_nabab__tome_II,daudet_-_Les_femmes_d'artistes,3,undirected
daudet_-_Le_nabab__tome_II,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,5,undirected
daudet_-_Le_nabab__tome_II,daudet_-_Sapho,1,undirected
daudet_-_Le_nabab__tome_II,daudet_-_Tartarin_de_Tarascon,1,undirected
daudet_-_Le_Petit_Chose,daudet_-_Tartarin_sur_les_Alpes,1,undirected
daudet_-_Le_Petit_Chose,daudet2hugo_para_8,1,undirected
daudet_-_Le_Petit_Chose,hugo_-_Hernani,6,undirected
daudet_-_Le_Petit_Chose,hugo_-_Le_Rhin__Tome_II,2,undirected
daudet_-_Le_Petit_Chose,hugo_-_Victor_Hugo_à_vingt_ans_Glanes_romantiques,3,undirected
daudet_-_Les_femmes_d'artistes,daudet_-_Le_nabab__tome_I,2,undirected
daudet_-_Les_femmes_d'artistes,daudet_-_Le_nabab__tome_II,3,undirected
daudet_-_Les_femmes_d'artistes,daudet_-_Sapho,1,undirected
daudet_-_Lettres_de_mon_moulin,daudet_-_Contes_de_lundi,6,undirected
daudet_-_Lettres_de_mon_moulin,daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,2,undirected
daudet_-_Lettres_de_mon_moulin,daudet_-_Tartarin_de_Tarascon,1,undirected
daudet_-_Lettres_de_mon_moulin,hugo_-_Le_Rhin__Tome_I,1,undirected
daudet_-_Lettres_de_mon_moulin,hugo_-_Le_Rhin__Tome_III,4,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_L'Immortel,5,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Le_nabab__tome_I,3,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Le_nabab__tome_II,5,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Sapho,2,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Tartarin_de_Tarascon,2,undirected
