Source,Target,Weight,Type
hugo_-_Actes_et_Paroles__Volume_1,hugo_-_Actes_et_Paroles__Volume_2_Pendant_l'exil,4,undirected
hugo_-_Actes_et_Paroles__Volume_1,hugo_-_Actes_et_Paroles__Volume_3,5,undirected
hugo_-_Actes_et_Paroles__Volume_1,hugo_-_Post-scriptum_de_ma_vie,1,undirected
hugo_-_Actes_et_Paroles__Volume_2_Pendant_l'exil,hugo_-_Actes_et_Paroles__Volume_1,4,undirected
hugo_-_Actes_et_Paroles__Volume_2_Pendant_l'exil,hugo_-_Actes_et_Paroles__Volume_3,6,undirected
hugo_-_Actes_et_Paroles__Volume_2_Pendant_l'exil,hugo_-_Napoléon_Le_Petit,1,undirected
hugo_-_Actes_et_Paroles__Volume_3,hugo_-_Actes_et_Paroles__Volume_1,5,undirected
hugo_-_Actes_et_Paroles__Volume_3,hugo_-_Actes_et_Paroles__Volume_2_Pendant_l'exil,6,undirected
hugo_-_Actes_et_Paroles__Volume_3,hugo_-_Napoléon_Le_Petit,1,undirected
hugo_-_Bug-Jargal,hugo_-_Han_d'Islande,6,undirected
hugo_-_Bug-Jargal,hugo_-_Le_Dernier_Jour_d'un_Condamné,2,undirected
hugo_-_Bug-Jargal,hugo_-_Notre-Dame_de_Paris,2,undirected
hugo_-_Bug-Jargal,verne_-_Les_Cinq_Cents_Millions_De_La_Bégum,1,undirected
hugo_-_Claude_Gueux,hugo_-_Les_misérables_Tome_I_Fantine,1,undirected
hugo_-_Claude_Gueux,hugo_-_Les_misérables_Tome_III_Marius,2,undirected
hugo_-_Claude_Gueux,hugo_-_Les_misérables_Tome_V_Jean_Valjean,3,undirected
hugo_-_Han_d'Islande,hugo_-_Bug-Jargal,6,undirected
hugo_-_Han_d'Islande,hugo_-_Le_Roi_s'amuse,1,undirected
hugo_-_Han_d'Islande,hugo_-_Notre-Dame_de_Paris,1,undirected
hugo_-_Han_d'Islande,hugo_-_Notre-Dame_de_Paris_-_Tome_2,2,undirected
hugo_-_Han_d'Islande,hugo_-_Ruy_Blas_Drame,1,undirected
hugo_-_Hernani,hugo_-_La_Esmeralda,4,undirected
hugo_-_Hernani,hugo_-_Le_Roi_s'amuse,1,undirected
hugo_-_Hernani,hugo_-_Ruy_Blas_Drame,2,undirected
hugo_-_Hernani,hugo_-_Victor_Hugo_à_vingt_ans_Glanes_romantiques,2,undirected
hugo_-_Hernani,verne2hugo_para_36,1,undirected
hugo_-_L'homme_Qui_Rit,hugo_-_Les_misérables_Tome_II__Cosette,5,undirected
hugo_-_L'homme_Qui_Rit,hugo_-_Les_misérables_Tome_IV_L'idylle_rue_Plumet_et_l'épopée_rue_Saint-Denis,3,undirected
hugo_-_L'homme_Qui_Rit,hugo_-_Les_Travailleurs_de_la_mer,3,undirected
hugo_-_L'homme_Qui_Rit,hugo_-_Napoléon_Le_Petit,2,undirected
hugo_-_L'homme_Qui_Rit,hugo_-_Quatrevingt_Treize,4,undirected
hugo_-_La_Esmeralda,hugo_-_Hernani,4,undirected
hugo_-_La_Esmeralda,hugo_-_Le_Roi_s'amuse,4,undirected
hugo_-_La_Esmeralda,hugo_-_Ruy_Blas_Drame,3,undirected
hugo_-_Le_Dernier_Jour_d'un_Condamné,hugo_-_Bug-Jargal,2,undirected
hugo_-_Le_Dernier_Jour_d'un_Condamné,hugo_-_Notre-Dame_de_Paris,1,undirected
hugo_-_Le_Dernier_Jour_d'un_Condamné,hugo_-_Ruy_Blas_Drame,5,undirected
hugo_-_Le_Rhin__Tome_I,hugo_-_Le_Rhin__Tome_II,2,undirected
hugo_-_Le_Rhin__Tome_I,hugo_-_Le_Rhin__Tome_III,6,undirected
hugo_-_Le_Rhin__Tome_I,hugo_-_Le_Rhin__Tome_IV,2,undirected
hugo_-_Le_Rhin__Tome_I,hugo_-_Quatrevingt_Treize,1,undirected
hugo_-_Le_Rhin__Tome_II,hugo_-_Le_Rhin__Tome_I,2,undirected
hugo_-_Le_Rhin__Tome_II,hugo_-_Les_misérables_Tome_IV_L'idylle_rue_Plumet_et_l'épopée_rue_Saint-Denis,2,undirected
hugo_-_Le_Rhin__Tome_II,hugo_-_Notre-Dame_de_Paris,3,undirected
hugo_-_Le_Rhin__Tome_II,hugo_-_Notre-Dame_de_Paris_-_Tome_2,1,undirected
hugo_-_Le_Rhin__Tome_III,hugo_-_Le_Rhin__Tome_I,6,undirected
hugo_-_Le_Rhin__Tome_III,hugo_-_Le_Rhin__Tome_IV,5,undirected
