Source,Target,Weight,Type
colette_-_Barks_and_Purrs,daudet_-_Le_Petit_Chose,2,undirected
colette_-_Barks_and_Purrs,hugo_-_runner.sh,6,undirected
colette_-_Barks_and_Purrs,verne_-_Les grands navigateurs du XVIIIe siècle,2,undirected
colette_-_Chéri,colette_-_L'Ingénue_Libertine,5,undirected
colette_-_Chéri,colette_-_La_Fin_de_Chéri,5,undirected
colette_-_Chéri,colette_-_Le_blé_en_herbe,3,undirected
colette_-_L'Ingénue_Libertine,colette_-_Chéri,5,undirected
colette_-_L'Ingénue_Libertine,colette_-_La_Fin_de_Chéri,3,undirected
colette_-_L'Ingénue_Libertine,colette_-_Le_blé_en_herbe,2,undirected
colette_-_La_Fin_de_Chéri,colette_-_Chéri,5,undirected
colette_-_La_Fin_de_Chéri,colette_-_L'Ingénue_Libertine,3,undirected
colette_-_La_Fin_de_Chéri,colette_-_Le_blé_en_herbe,6,undirected
colette_-_La_maison_de_Claudin,colette_-_Le_blé_en_herbe,1,undirected
colette_-_La_maison_de_Claudin,colette_-_Les_heures_longues,5,undirected
colette_-_La_maison_de_Claudin,colette_-_Rêverie_de_Nouvel_An,2,undirected
colette_-_La_maison_de_Claudin,colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,6,undirected
colette_-_Le_blé_en_herbe,colette_-_Chéri,3,undirected
colette_-_Le_blé_en_herbe,colette_-_L'Ingénue_Libertine,2,undirected
colette_-_Le_blé_en_herbe,colette_-_La_Fin_de_Chéri,6,undirected
colette_-_Le_blé_en_herbe,colette_-_La_maison_de_Claudin,1,undirected
colette_-_Le_blé_en_herbe,colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,1,undirected
colette_-_Les_heures_longues,colette_-_La_maison_de_Claudin,5,undirected
colette_-_Les_heures_longues,colette_-_Rêverie_de_Nouvel_An,1,undirected
colette_-_Les_heures_longues,colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,4,undirected
colette_-_Les_heures_longues,daudet_-_L'Immortel,1,undirected
colette_-_Rêverie_de_Nouvel_An,colette_-_La_maison_de_Claudin,2,undirected
colette_-_Rêverie_de_Nouvel_An,colette_-_Les_heures_longues,1,undirected
colette_-_Rêverie_de_Nouvel_An,colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,3,undirected
colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,colette_-_La_maison_de_Claudin,6,undirected
colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,colette_-_Le_blé_en_herbe,1,undirected
colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,colette_-_Les_heures_longues,4,undirected
colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,colette_-_Rêverie_de_Nouvel_An,3,undirected
colette_-_Sido_suivi_de_Les_vrilles_de_la_vigne,zola_-_Nouveaux Contes à Ninon,1,undirected
daudet_-_Contes_de_lundi,daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,3,undirected
daudet_-_Contes_de_lundi,daudet_-_Le_nabab,_tome_I,2,undirected
daudet_-_Contes_de_lundi,daudet_-_Le_nabab,_tome_II,1,undirected
daudet_-_Contes_de_lundi,daudet_-_Lettres_de_mon_moulin,6,undirected
daudet_-_L'Immortel,colette_-_Les_heures_longues,1,undirected
daudet_-_L'Immortel,daudet_-_Le_nabab,_tome_I,1,undirected
daudet_-_L'Immortel,daudet_-_Le_nabab,_tome_II,3,undirected
daudet_-_L'Immortel,daudet_-_Les_femmes_d'artistes,1,undirected
daudet_-_L'Immortel,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,5,undirected
daudet_-_L'Immortel,daudet_-_Sapho,3,undirected
daudet_-_L'Immortel,daudet_-_Tartarin_sur_les_Alpes,2,undirected
daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,daudet_-_Contes_de_lundi,3,undirected
daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,daudet_-_Le_nabab,_tome_I,1,undirected
daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,daudet_-_Lettres_de_mon_moulin,2,undirected
daudet_-_Le_nabab,_tome_I,daudet_-_Contes_de_lundi,2,undirected
daudet_-_Le_nabab,_tome_I,daudet_-_L'Immortel,1,undirected
daudet_-_Le_nabab,_tome_I,daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,1,undirected
daudet_-_Le_nabab,_tome_I,daudet_-_Le_nabab,_tome_II,6,undirected
daudet_-_Le_nabab,_tome_I,daudet_-_Les_femmes_d'artistes,2,undirected
daudet_-_Le_nabab,_tome_I,daudet_-_Lettres_de_mon_moulin,2,undirected
daudet_-_Le_nabab,_tome_I,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,3,undirected
daudet_-_Le_nabab,_tome_I,daudet_-_Tartarin_sur_les_Alpes,1,undirected
daudet_-_Le_nabab,_tome_II,daudet_-_Contes_de_lundi,1,undirected
daudet_-_Le_nabab,_tome_II,daudet_-_L'Immortel,3,undirected
daudet_-_Le_nabab,_tome_II,daudet_-_Le_nabab,_tome_I,6,undirected
daudet_-_Le_nabab,_tome_II,daudet_-_Les_femmes_d'artistes,3,undirected
daudet_-_Le_nabab,_tome_II,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,5,undirected
daudet_-_Le_nabab,_tome_II,daudet_-_Sapho,1,undirected
daudet_-_Le_nabab,_tome_II,daudet_-_Tartarin_de_Tarascon,1,undirected
daudet_-_Le_Petit_Chose,colette_-_Barks_and_Purrs,2,undirected
daudet_-_Le_Petit_Chose,daudet_-_Tartarin_sur_les_Alpes,1,undirected
daudet_-_Le_Petit_Chose,hugo_-_Hernani,6,undirected
daudet_-_Le_Petit_Chose,hugo_-_runner.sh,1,undirected
daudet_-_Le_Petit_Chose,hugo_-_Victor_Hugo_à_vingt_ans_Glanes_romantiques,2,undirected
daudet_-_Le_Petit_Chose,verne_-_Michel Strogoff,2,undirected
daudet_-_Les_femmes_d'artistes,daudet_-_L'Immortel,1,undirected
daudet_-_Les_femmes_d'artistes,daudet_-_Le_nabab,_tome_I,2,undirected
daudet_-_Les_femmes_d'artistes,daudet_-_Le_nabab,_tome_II,3,undirected
daudet_-_Lettres_de_mon_moulin,daudet_-_Contes_de_lundi,6,undirected
daudet_-_Lettres_de_mon_moulin,daudet_-_La_Belle-Nivernaise_Histoire_d'un_vieux_bateau_et_de_son_équipage,2,undirected
daudet_-_Lettres_de_mon_moulin,daudet_-_Le_nabab,_tome_I,2,undirected
daudet_-_Lettres_de_mon_moulin,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,1,undirected
daudet_-_Lettres_de_mon_moulin,hugo_-_Le_Rhin,_Tome_I,2,undirected
daudet_-_Lettres_de_mon_moulin,hugo_-_Le_Rhin,_Tome_III,2,undirected
daudet_-_Lettres_de_mon_moulin,zola_-_Nouveaux Contes à Ninon,2,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_L'Immortel,5,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Le_nabab,_tome_I,3,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Le_nabab,_tome_II,5,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Lettres_de_mon_moulin,1,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Sapho,3,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Tartarin_de_Tarascon,2,undirected
daudet_-_Numa_Roumestan_Moeurs_Parisiennes,daudet_-_Tartarin_sur_les_Alpes,3,undirected
daudet_-_Sapho,daudet_-_L'Immortel,3,undirected
daudet_-_Sapho,daudet_-_Le_nabab,_tome_II,1,undirected
daudet_-_Sapho,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,3,undirected
daudet_-_Tartarin_de_Tarascon,daudet_-_Le_nabab,_tome_II,1,undirected
daudet_-_Tartarin_de_Tarascon,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,2,undirected
daudet_-_Tartarin_de_Tarascon,daudet_-_Tartarin_sur_les_Alpes,3,undirected
daudet_-_Tartarin_sur_les_Alpes,daudet_-_L'Immortel,2,undirected
daudet_-_Tartarin_sur_les_Alpes,daudet_-_Le_nabab,_tome_I,1,undirected
daudet_-_Tartarin_sur_les_Alpes,daudet_-_Le_Petit_Chose,1,undirected
daudet_-_Tartarin_sur_les_Alpes,daudet_-_Numa_Roumestan_Moeurs_Parisiennes,3,undirected
daudet_-_Tartarin_sur_les_Alpes,daudet_-_Tartarin_de_Tarascon,3,undirected
dumas_-_Acté,dumas_-_Georges,1,undirected
dumas_-_Acté,dumas_-_La_San-Felice,_Tome_01,2,undirected
dumas_-_Acté,dumas_-_Le_capitaine_Pamphile,5,undirected
dumas_-_Bric-à-brac,dumas_-_Gabriel_Lambert,3,undirected
dumas_-_Bric-à-brac,dumas_-_La_San-Felice,_Tome_02,1,undirected
dumas_-_Bric-à-brac,dumas_-_Le_corricolo,2,undirected
dumas_-_Bric-à-brac,dumas_-_Les_compagnons_de_Jéhu,3,undirected
dumas_-_Bric-à-brac,zola_-_La vérité en marche,1,undirected
dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux,dumas_-_Georges,5,undirected
dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux,dumas_-_La_San-Felice,_Tome_01,3,undirected
dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux,dumas_-_La_San-Felice,_Tome_03,2,undirected
dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux,dumas_-_La_San-Felice,_Tome_05,2,undirected
dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux,dumas_-_Le_corricolo,2,undirected
dumas_-_Gabriel_Lambert,dumas_-_Bric-à-brac,3,undirected
dumas_-_Gabriel_Lambert,dumas_-_Pauline_et_Pascal_Bruno,2,undirected
dumas_-_Gabriel_Lambert,hugo_-_Bug-Jargal,1,undirected
dumas_-_Gabriel_Lambert,hugo_-_Han_d'Islande,1,undirected
dumas_-_Georges,dumas_-_Acté,1,undirected
dumas_-_Georges,dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux,5,undirected
dumas_-_Georges,dumas_-_Histoire_d'un_casse-noisette,3,undirected
dumas_-_Georges,dumas_-_Le_Capitaine_Aréna_—_Tome_1,3,undirected
dumas_-_Georges,dumas_-_Le_Capitaine_Aréna_—_Tome_2,1,undirected
dumas_-_Georges,dumas_-_Le_capitaine_Pamphile,1,undirected
dumas_-_Georges,dumas_-_Le_corricolo,6,undirected
dumas_-_Henri_III_et_sa_Cour,dumas_-_Le_comte_de_Monte-Cristo,_Tome_III,2,undirected
dumas_-_Henri_III_et_sa_Cour,dumas_-_Le_vicomte_de_Bragelonne,_Tome_III.,3,undirected
dumas_-_Henri_III_et_sa_Cour,dumas_-_Les_quarante-cinq_—_Tome_1,1,undirected
dumas_-_Henri_III_et_sa_Cour,zola_-_Correspondance Les lettres et les arts,1,undirected
dumas_-_Histoire_d'un_casse-noisette,dumas_-_Georges,3,undirected
dumas_-_Histoire_d'un_casse-noisette,dumas_-_Le_chevalier_d'Harmental,2,undirected
dumas_-_Histoire_d'un_casse-noisette,dumas_-_Le_corricolo,1,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,dumas_-_La_dame_de_Monsoreau_—_Tome_2.,4,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,dumas_-_La_dame_de_Monsoreau_—_Tome_3.,2,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,dumas_-_La_reine_Margot_-_Tome_I,3,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,dumas_-_La_reine_Margot_-_Tome_II,2,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,dumas_-_Les_mille_et_un_fantômes,1,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,dumas_-_Les_quarante-cinq_—_Tome_2,2,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,hugo_-_Le_Roi_s'amuse,2,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,hugo_-_Ruy_Blas_Drame,1,undirected
dumas_-_La_dame_de_Monsoreau_—__Tome_1.,zola_-_Correspondance Lettres de jeunesse,2,undirected
dumas_-_La_dame_de_Monsoreau_—_Tome_2.,dumas_-_La_dame_de_Monsoreau_—__Tome_1.,4,undirected
dumas_-_La_dame_de_Monsoreau_—_Tome_2.,dumas_-_La_dame_de_Monsoreau_—_Tome_3.,6,undirected
dumas_-_La_dame_de_Monsoreau_—_Tome_2.,dumas_-_La_reine_Margot_-_Tome_II,1,undirected
dumas_-_La_dame_de_Monsoreau_—_Tome_2.,dumas_-_Les_quarante-cinq_—_Tome_1,5,undirected
dumas_-_La_dame_de_Monsoreau_—_Tome_2.,dumas_-_Vingt_ans_après,1,undirected
dumas_-_La_dame_de_Monsoreau_—_Tome_3.,dumas_-_La_dame_de_Monsoreau_—__Tome_1.,2,undirected
dumas_-_La_dame_de_Monsoreau_—_Tome_3.,dumas_-_La_dame_de_Monsoreau_—_Tome_2.,6,undirected
dumas_-_La_dame_de_Monsoreau_—_Tome_3.,dumas_-_Les_quarante-cinq_—_Tome_1,1,undirected
dumas_-_La_femme_au_collier_de_velours,dumas_-_Le_corricolo,3,undirected
dumas_-_La_femme_au_collier_de_velours,dumas_-_The_Count_of_Monte_Cristo,1,undirected
dumas_-_La_femme_au_collier_de_velours,hugo_-_Notre-Dame_de_Paris,3,undirected
dumas_-_La_femme_au_collier_de_velours,hugo_-_Notre-Dame_de_Paris_-_Tome_2,1,undirected
dumas_-_La_reine_Margot_-_Tome_I,dumas_-_La_dame_de_Monsoreau_—__Tome_1.,3,undirected
dumas_-_La_reine_Margot_-_Tome_I,dumas_-_La_reine_Margot_-_Tome_II,6,undirected
dumas_-_La_reine_Margot_-_Tome_I,dumas_-_Le_chevalier_de_Maison-Rouge,1,undirected
dumas_-_La_reine_Margot_-_Tome_I,dumas_-_Le_comte_de_Monte-Cristo,_Tome_IV,3,undirected
dumas_-_La_reine_Margot_-_Tome_I,dumas_-_Les_trois_mousquetaires,1,undirected
dumas_-_La_reine_Margot_-_Tome_II,dumas_-_La_dame_de_Monsoreau_—__Tome_1.,2,undirected
dumas_-_La_reine_Margot_-_Tome_II,dumas_-_La_dame_de_Monsoreau_—_Tome_2.,1,undirected
dumas_-_La_reine_Margot_-_Tome_II,dumas_-_La_reine_Margot_-_Tome_I,6,undirected
dumas_-_La_San-Felice,_Tome_01,dumas_-_Acté,2,undirected
dumas_-_La_San-Felice,_Tome_01,dumas_-_Création_et_rédemption,_première_partie_Le_docteur_mystérieux,3,undirected
dumas_-_La_San-Felice,_Tome_01,dumas_-_La_San-Felice,_Tome_03,1,undirected
